problem,click_depth,filter_depth,iterative_distance,number_filters,query_frequency,relevant_new_info,number_measures,consideration_time,elapsed_time,number_cells,rqp,iterative_precision,click_per_query,view_area_increase,execution_time,number_aggregations,aggregation_depth,iterative_recall,number_queries,expected_knowledge,log-position,last-position,sequence,score
dibstudent03--2016-09-25--15-42.log-19,2.7987369032,-0.3753098313,-0.7047755645,-0.488242589,0.4144250973,0.8965774532,1.0632520095,-0.4028442901,-0.7661734967,-0.1973795894,-0.578952559,0.9372741394,2.6472336585,-0.1444585767,-0.1469955721,0.7085619708,0.1428393326,0.956849521,-0.3786126327,1,33,36,dibstudent03--2016-09-25--15-42.log,1.62899291827996
dibstudent03--2016-09-25--15-42.log-2,1.1498866499,-0.3753098313,-0.7047755645,-0.488242589,0.4718627192,-1.1041023034,-0.1105679236,-0.3818628205,-0.9055679541,-0.2287887475,-1.5937377275,0.9372741394,1.0148384605,-0.1444585767,-0.1534457171,-1.275846248,-1.3333285205,0.956849521,-1.2133351713,0,33,36,dibstudent03--2016-09-25--15-42.log,-0.219299822069387
dibstudent03--2016-09-25--15-42.log-20,2.563186867,-0.3753098313,-0.7047755645,-0.488242589,0.4496750228,0.8965774532,1.0632520095,-0.3972029748,-0.7640874742,-0.1973795894,-0.5192593138,0.9372741394,2.6472336585,-0.1444585767,-0.0901536694,0.7085619708,0.1428393326,0.956849521,-0.3295113069,1,33,36,dibstudent03--2016-09-25--15-42.log,1.52143246859197
dibstudent03--2016-09-25--15-42.log-21,2.3276368308,-0.3753098313,-0.7047755645,-0.488242589,0.4808934415,0.8965774532,1.0632520095,-0.3816365645,-0.7614910699,-0.1973795894,-0.4595660685,0.9372741394,2.6472336585,-0.1444585767,-0.0837035244,0.7085619708,0.1428393326,0.956849521,-0.2804099811,1,33,36,dibstudent03--2016-09-25--15-42.log,1.41314026258841
dibstudent03--2016-09-25--15-42.log-22,2.0920867946,-0.3753098313,-0.7047755645,-0.488242589,0.5028030722,0.8965774532,1.0632520095,-0.3766891008,-0.7575441165,-0.1973795894,-0.3998728233,0.9372741394,2.6472336585,-0.1444585767,-0.0837035244,0.7085619708,0.1428393326,0.956849521,-0.2313086553,1,33,36,dibstudent03--2016-09-25--15-42.log,1.30359295358682
dibstudent03--2016-09-25--15-42.log-23,1.8565367584,-0.3753098313,-0.2094252255,-0.488242589,0.5223569241,0.8965774532,1.0632520095,-0.3715002973,-0.7533733803,-0.1973795894,-0.3401795781,-1.1869082721,0.0354013416,0.5587392723,-0.1469955721,-0.2836421386,-0.3492166184,-1.1503836119,-0.1822073295,1,33,36,dibstudent03--2016-09-25--15-42.log,0.572005495321357
dibstudent03--2016-09-25--15-42.log-24,1.6209867222,-0.3753098313,-0.7047755645,-0.488242589,0.537907353,0.8965774532,1.0632520095,-0.3660701542,-0.7486909536,-0.1973795894,-0.2804863329,0.9372741394,0.0354013416,-0.1444585767,-0.1280482712,-0.2836421386,-0.3492166184,0.956849521,-0.1331060037,1,33,36,dibstudent03--2016-09-25--15-42.log,1.04606568527163
dibstudent03--2016-09-25--15-42.log-25,1.3854366861,-0.3753098313,-0.7047755645,-0.488242589,0.5496292602,0.8965774532,1.0632520095,0.6402862028,-0.7434968363,-0.1973795894,-0.2207930877,0.9372741394,0.0354013416,-0.1444585767,-0.1155511153,-0.2836421386,-0.3492166184,0.956849521,-0.0840046779,1,33,36,dibstudent03--2016-09-25--15-42.log,1.02121027995858
dibstudent03--2016-09-25--15-42.log-26,1.1498866499,-0.3753098313,-0.2094252255,-0.488242589,0.2126844989,0.3408687041,-0.1105679236,-0.2192451178,-0.6510928477,-0.2106044981,-0.1610998425,0.9372741394,1.6677965397,-0.1444585767,-0.1469955721,-0.2836421386,-0.3492166184,0.1139562679,-0.0349033521,1,33,36,dibstudent03--2016-09-25--15-42.log,0.242050179091165
dibstudent03--2016-09-25--15-42.log-27,0.9143366137,-0.3753098313,-0.2094252255,-0.488242589,0.1932612441,0.8965774532,1.0632520095,-0.2498801752,-0.633262198,-0.1973795894,-0.1014065973,0.0876011748,-0.291077698,-0.1444585767,-0.1469955721,-0.2836421386,-0.3492166184,0.956849521,0.0141979737,1,33,36,dibstudent03--2016-09-25--15-42.log,0.479405487679183
dibstudent03--2016-09-25--15-42.log-28,0.6787865775,-0.3753098313,-0.7047755645,-0.488242589,0.1822362824,0.8965774532,1.0632520095,-0.3974292307,-0.6180894602,-0.1973795894,-0.0417133521,0.9372741394,-0.291077698,-0.1444585767,-0.1469955721,-0.2836421386,-0.3492166184,0.956849521,0.0632992995,1,33,36,dibstudent03--2016-09-25--15-42.log,0.627933560398206
dibstudent03--2016-09-25--15-42.log-29,0.4432365413,-0.3753098313,-0.7047755645,-0.488242589,0.2012574905,0.8965774532,1.0632520095,-0.3641997716,-0.6155532547,-0.1973795894,0.0179798931,0.9372741394,-0.291077698,-0.1444585767,-0.0962006804,-0.2836421386,-0.3492166184,0.956849521,0.1124006253,1,33,36,dibstudent03--2016-09-25--15-42.log,0.522216662284726
dibstudent03--2016-09-25--15-42.log-3,0.9143366137,-0.3753098313,-0.7047755645,-0.488242589,0.6229990917,-1.1041023034,-0.1105679236,-0.4073241582,-0.901867031,-0.2287887475,-1.5340444823,0.9372741394,1.0148384605,-0.1444585767,-0.1534457171,-1.275846248,-1.3333285205,0.956849521,-1.1642338455,0,33,36,dibstudent03--2016-09-25--15-42.log,-0.328962014008193
dibstudent03--2016-09-25--15-42.log-30,0.2076865051,-0.3753098313,-0.7047755645,-0.488242589,0.2133763714,0.8965774532,1.0632520095,-0.3623143052,-0.6102779998,-0.1973795894,0.0776731383,0.9372741394,-0.291077698,-0.1444585767,-0.1405454272,-0.2836421386,-0.3492166184,0.956849521,0.1615019511,1,33,36,dibstudent03--2016-09-25--15-42.log,0.410917468999276
dibstudent03--2016-09-25--15-42.log-31,-0.0278635311,-0.3753098313,-0.7047755645,-0.488242589,0.2248068012,0.8965774532,1.0632520095,-0.4037945652,-0.6048797297,-0.1973795894,0.1373663836,0.9372741394,-0.291077698,-0.1444585767,-0.1530425831,-0.2836421386,-0.3492166184,0.956849521,0.2106032769,1,33,36,dibstudent03--2016-09-25--15-42.log,0.296892188449129
dibstudent03--2016-09-25--15-42.log-32,-0.2634135673,-0.3753098313,-0.7047755645,-0.488242589,0.2445134554,0.8965774532,1.0632520095,-0.3802186938,-0.6030803063,-0.1973795894,0.1970596288,0.9372741394,-0.291077698,-0.1444585767,-0.1530425831,-0.2836421386,-0.3492166184,0.956849521,0.2597046027,1,33,36,dibstudent03--2016-09-25--15-42.log,0.18886040985554
dibstudent03--2016-09-25--15-42.log-33,-0.4989636035,-0.3753098313,-0.2094252255,-0.488242589,0.2589209534,0.3408687041,-0.1105679236,-0.3352088408,-0.5992157993,-0.2106044981,0.256752874,0.9372741394,-0.291077698,-0.1444585767,-0.1469955721,-0.2836421386,-0.3492166184,0.1139562679,0.3088059285,1,33,36,dibstudent03--2016-09-25--15-42.log,-0.343951892702744
dibstudent03--2016-09-25--15-42.log-34,-0.7345136397,-0.3753098313,-0.2094252255,-0.488242589,0.263547863,0.8965774532,1.0632520095,0.541065421,-0.5914658464,-0.1973795894,0.3164461192,0.0876011748,-0.6175567376,-0.1444585767,-0.1530425831,-0.2836421386,-0.3492166184,0.956849521,0.3579072543,1,33,36,dibstudent03--2016-09-25--15-42.log,-0.192695130773499
dibstudent03--2016-09-25--15-42.log-35,0.4432365413,0.567170084,1.2766257917,0.9427862514,0.1208009281,0.6709836318,1.0632520095,1.4137346713,-0.5076702992,-0.2039920437,0.3761393644,0.9372741394,1.0148384605,-0.1444585767,-0.1469955721,-0.2836421386,-0.3492166184,0.5354028944,0.4070085801,1,33,36,dibstudent03--2016-09-25--15-42.log,1.08769346686819
dibstudent03--2016-09-25--15-42.log-36,0.2076865051,0.567170084,-0.2094252255,0.9427862514,-0.0495989086,0.3204833236,1.0632520095,-0.2925369662,-0.3476498696,-0.0981927742,0.4358326096,-1.1869082721,1.6677965397,2.2907769272,0.010629846,0.7085619708,0.1428393326,-1.1503836119,0.4561099059,1,33,36,dibstudent03--2016-09-25--15-42.log,0.730793310385479
